iter	Passed	Remaining
399	55837	83755
400	55971	83607
401	56094	83444
402	56314	83423
403	56459	83291
404	56595	83146
405	56753	83033
406	56893	82893
407	57069	82806
408	57242	82715
409	57407	82611
410	57546	82468
411	57692	82337
412	57843	82212
413	58060	82182
414	58209	82053
415	58348	81912
416	58478	81757
417	58609	81604
418	58739	81450
419	58867	81293
420	58994	81135
421	59121	80976
422	59238	80805
423	59366	80648
424	59534	80546
425	59656	80381
426	59897	80377
427	60053	80258
428	60200	80127
429	60352	80002
430	60522	79900
431	60665	79763
432	60811	79630
433	60960	79501
434	61099	79358
435	61246	79227
436	61389	79090
437	61545	78969
438	61728	78883
439	61878	78754
440	62015	78609
441	62173	78490
442	62433	78499
443	62568	78351
444	62703	78202
445	62846	78065
446	62989	77926
447	63127	77781
448	63264	77635
449	63383	77469
450	63530	77335
451	63675	77198
452	63819	77062
453	63956	76917
454	64089	76766
455	64225	76620
456	64344	76452
457	64510	76341
458	64662	76214
459	64898	76185
460	65027	76029
461	65162	75882
462	65312	75750
463	65471	75630
464	65641	75522
465	65785	75384
466	65921	75237
467	66061	75095
468	66189	74939
469	66314	74780
470	66456	74640
471	66582	74482
472	66736	74355
473	66866	74201
474	66996	74048
475	67128	73897
476	67250	73736
477	67360	73561
478	67481	73398
479	67598	73232
480	67734	73085
481	67862	72931
482	67976	72761
483	68095	72597
484	68217	72437
485	68356	72295
486	68484	72140
487	68605	71979
488	68731	71823
489	68864	71675
490	68990	71519
491	69126	71374
492	69269	71236
493	69400	71086
494	69516	70920
495	69640	70763
496	69775	70617
497	69901	70462
498	70024	70305
499	70161	70161
500	70287	70007
501	70412	69851
502	70544	69702
503	70675	69553
504	70806	69404
505	70941	69259
506	71064	69102
507	71177	68935
508	71311	68789
509	71454	68652
510	71613	68530
511	71775	68411
512	71941	68295
513	72079	68152
514	72219	68012
515	72341	67855
516	72503	67735
517	72640	67591
518	72781	67452
519	72970	67357
520	73117	67222
521	73256	67081
522	73407	66951
523	73551	66814
524	73686	66668
525	73807	66511
526	73925	66350
527	74039	66186
528	74160	66029
529	74288	65878
530	74403	65715
531	74534	65567
532	74657	65412
533	74782	65259
534	74907	65106
535	75042	64962
536	75161	64803
537	75292	64656
538	75425	64510
539	75557	64363
540	75695	64222
541	75814	64064
542	75948	63919
543	76077	63771
544	76203	63619
545	76331	63470
546	76461	63321
547	76587	63170
548	76732	63035
549	76866	62891
550	77012	62756
551	77174	62633
552	77292	62476
553	77430	62335
554	77594	62215
555	77744	62084
556	77893	61950
557	78025	61805
558	78152	61655
559	78326	61542
560	78557	61473
561	78705	61339
562	78844	61198
563	78977	61053
564	79101	60901
565	79245	60764
566	79383	60622
567	79499	60464
568	79612	60304
569	79738	60153
570	79868	60005
571	79987	59850
572	80100	59690
573	80213	59530
574	80338	59380
575	80466	59232
576	80589	59079
577	80716	58931
578	80832	58774
579	80949	58618
580	81067	58463
581	81184	58307
582	81292	58146
583	81420	57997
584	81551	57852
585	81665	57695
586	81794	57548
587	81917	57398
588	82034	57242
589	82161	57095
590	82307	56961
591	82431	56810
592	82562	56665
593	82684	56515
594	82808	56365
595	82933	56216
596	83068	56074
597	83186	55921
598	83318	55777
599	83447	55631
600	83568	55480
601	83685	55326
602	83809	55178
603	83939	55033
604	84072	54890
605	84193	54739
606	84313	54588
607	84454	54450
608	84576	54301
609	84696	54150
610	84813	53997
611	84942	53852
612	85064	53703
613	85186	53554
614	85308	53404
615	85429	53254
616	85540	53098
617	85661	52949
618	85781	52799
619	85906	52652
620	86034	52507
621	86159	52360
622	86287	52215
623	86409	52067
624	86537	51922
625	86662	51775
626	86784	51627
627	86914	51484
628	87056	51348
629	87175	51198
630	87295	51049
631	87414	50899
632	87542	50755
633	87677	50615
634	87807	50471
635	87944	50333
636	88083	50194
637	88226	50059
638	88353	49914
639	88483	49772
640	88626	49636
641	88863	49552
642	89013	49421
643	89151	49282
644	89273	49134
645	89408	48994
646	89541	48853
647	89748	48752
648	89900	48620
649	90014	48469
650	90146	48327
651	90287	48190
652	90422	48049
653	90545	47903
654	90676	47760
655	90820	47625
656	90963	47489
657	91101	47350
658	91236	47210
659	91372	47070
660	91503	46928
661	91648	46793
662	91796	46659
663	91913	46510
664	92045	46368
665	92185	46231
666	92323	46092
667	92439	45942
668	92579	45805
669	92740	45678
670	92863	45531
671	92989	45387
672	93129	45250
673	93259	45107
674	93398	44969
675	93530	44828
676	93661	44686
677	93811	44553
678	93950	44415
679	94131	44296
680	94274	44160
681	94415	44023
682	94562	43889
683	94691	43746
684	94827	43606
685	94963	43467
686	95091	43323
687	95218	43180
688	95344	43036
689	95471	42892
690	95591	42746
691	95718	42602
692	95843	42458
693	95965	42313
694	96090	42169
695	96227	42030
696	96349	41884
697	96489	41747
698	96675	41629
699	96821	41494
700	96954	41354
701	97098	41218
702	97237	41080
703	97353	40932
704	97500	40798
705	97666	40671
706	97797	40529
707	97935	40391
708	98060	40247
709	98184	40103
710	98317	39963
711	98449	39822
712	98561	39673
713	98683	39528
714	98817	39388
715	98948	39247
716	99075	39105
717	99209	38965
718	99345	38826
719	99470	38683
720	99600	38541
721	99720	38396
722	99840	38251
723	99973	38111
724	100095	37967
725	100226	37826
726	100350	37683
727	100476	37540
728	100605	37399
729	100724	37254
730	100847	37110
731	100975	36969
732	101086	36821
733	101208	36677
734	101337	36536
735	101455	36391
736	101579	36248
737	101787	36135
738	101926	35998
739	102048	35854
740	102183	35716
741	102308	35573
742	102425	35428
743	102549	35285
744	102692	35149
745	102836	35014
746	102977	34877
747	103101	34734
748	103229	34593
749	103369	34456
750	103484	34311
751	103610	34169
752	103743	34030
753	103866	33887
754	103983	33743
755	104118	33604
756	104249	33464
757	104388	33327
758	104515	33186
759	104666	33052
760	104807	32915
761	104936	32775
762	105072	32637
763	105200	32496
764	105336	32358
765	105470	32219
766	105606	32081
767	105760	31948
768	105883	31806
769	106011	31665
770	106149	31528
771	106273	31386
772	106411	31248
773	106542	31109
774	106681	30972
775	106801	30829
776	106924	30687
777	107057	30548
778	107191	30409
779	107312	30267
780	107443	30128
781	107572	29988
782	107685	29843
783	107819	29705
784	107951	29566
785	108080	29426
786	108214	29288
787	108342	29147
788	108478	29009
789	108614	28872
790	108754	28735
791	108876	28593
792	108999	28452
793	109131	28313
794	109258	28173
795	109381	28032
796	109508	27892
797	109635	27752
798	109757	27611
799	109891	27472
800	110014	27331
801	110141	27192
802	110273	27053
803	110414	26916
804	110544	26777
805	110674	26638
806	110803	26499
807	110928	26359
808	111065	26221
809	111198	26083
810	111321	25943
811	111451	25803
812	111573	25663
813	111701	25523
814	111825	25383
815	111950	25243
816	112082	25105
817	112221	24968
818	112354	24830
819	112493	24693
820	112633	24557
821	112761	24417
822	112884	24277
823	113036	24143
824	113153	24002
825	113278	23862
826	113418	23725
827	113567	23591
828	113703	23453
829	113873	23323
830	114034	23191
831	114189	23057
832	114332	22921
833	114460	22782
834	114608	22647
835	114735	22507
836	114866	22369
837	114995	22230
838	115126	22092
839	115264	21955
840	115398	21817
841	115531	21679
842	115653	21539
843	115787	21401
844	115919	21263
845	116058	21126
846	116189	20988
847	116330	20851
848	116477	20716
849	116602	20576
850	116713	20435
851	116837	20295
852	117210	20199
853	118259	20217
854	118385	20077
855	118534	19940
856	118660	19799
857	118791	19660
858	118951	19525
859	119107	19389
860	119260	19253
861	119391	19113
862	119508	18971
863	119640	18832
864	119769	18692
865	119882	18549
866	120011	18410
867	120146	18271
868	120264	18129
869	120396	17990
870	120529	17851
871	120663	17712
872	120784	17571
873	120904	17430
874	121043	17291
875	121170	17151
876	121304	17013
877	121431	16873
878	121573	16735
879	121697	16595
880	121835	16456
881	121975	16318
882	122103	16179
883	122228	16039
884	122350	15898
885	122483	15759
886	122622	15621
887	122755	15482
888	122884	15343
889	123012	15203
890	123145	15064
891	123293	14927
892	123439	14790
893	123565	14650
894	123711	14513
895	123850	14375
896	123981	14236
897	124119	14098
898	124266	13961
899	124418	13824
900	124552	13685
901	124684	13546
902	124876	13414
903	125004	13274
904	125141	13136
905	125298	13000
906	125453	12863
907	125579	12723
908	125717	12585
909	125859	12447
910	126010	12310
911	126153	12172
912	126284	12033
913	126409	11894
914	126555	11756
915	126731	11621
916	126847	11481
917	127049	11348
918	127181	11209
919	127313	11070
920	127447	10931
921	127569	10792
922	127692	10652
923	127822	10513
924	127950	10374
925	128078	10235
926	128214	10096
927	128343	9957
928	128475	9818
929	128597	9679
930	128732	9540
931	128864	9402
932	128985	9262
933	129110	9123
934	129228	8983
935	129347	8844
936	129462	8704
937	129605	8566
938	129739	8428
939	129884	8290
940	130006	8151
941	130121	8011
942	130239	7872
943	130375	7734
944	130492	7594
945	130624	7456
946	130758	7318
947	130886	7179
948	131011	7040
949	131131	6901
950	131254	6762
951	131387	6624
952	131511	6485
953	131641	6347
954	131754	6208
955	131895	6070
956	132025	5932
957	132139	5793
958	132263	5654
959	132400	5516
960	132528	5378
961	132682	5241
962	132816	5103
963	132943	4964
964	133076	4826
965	133217	4688
966	133364	4551
967	133518	4413
968	133654	4275
969	133770	4137
970	133895	3998
971	134013	3860
972	134152	3722
973	134290	3584
974	134420	3446
975	134559	3308
976	134678	3170
977	134805	3032
978	134925	2894
979	135042	2755
980	135153	2617
981	135287	2479
982	135432	2342
983	135570	2204
984	135699	2066
985	135822	1928
986	135960	1790
987	136087	1652
988	136212	1514
989	136343	1377
990	136478	1239
991	136616	1101
992	136755	964
993	136893	826
994	137016	688
995	137149	550
996	137283	413
997	137416	275
998	137534	137
999	137661	0
